Song,Station,7D,7D-1,"7D Evolution",28D,1Y,Country,"Last Play"
"End Of Beginning","La X 103.9 FM",28,31,-3,104,294,Colombia,2026-02-20T16:30:08+00:00
"End Of Beginning","Los 40 Principales",25,24,1,81,109,Colombia,2026-02-20T14:57:27+00:00
"End Of Beginning",Radionica,11,24,-13,79,116,Colombia,2026-02-20T12:42:32+00:00
"Basic Being Basic",RadioAktiva,4,2,2,9,555,Colombia,2026-02-20T18:52:38+00:00
"End Of Beginning",RadioAktiva,1,0,1,2,39,Colombia,2026-02-13T01:56:36+00:00
"End Of Beginning","La X",1,0,1,3,12,Colombia,2026-02-16T18:49:57+00:00
"Carry The Name",Radionica,1,1,0,2,23,Colombia,2026-02-19T16:21:10+00:00
"Basic Being Basic",Radionica,1,2,-1,9,53,Colombia,2026-02-20T06:33:01+00:00
"T. Rex Is Loud","La X 103.9 FM",0,0,0,0,1,Colombia,2026-01-08T15:25:44+00:00
"End Of Beginning","Blu Radio",0,0,0,0,2,Colombia,2026-01-09T03:46:18+00:00
"Delete Ya",Radionica,0,0,0,1,5,Colombia,2026-01-23T14:56:45+00:00
"End Of Beginning","La FM",0,0,0,2,2,Colombia,2026-01-25T10:43:33+00:00
"Delete Ya","La X 103.9 FM",0,0,0,0,4,Colombia,2025-11-10T18:02:26+00:00
"Basic Being Basic","La X 103.9 FM",0,0,0,1,4,Colombia,2026-01-28T19:05:40+00:00
"Purgatory Silverstar","La X 103.9 FM",0,0,0,0,1,Colombia,2026-01-08T15:23:52+00:00
Change,"La X 103.9 FM",0,0,0,0,5,Colombia,2025-07-25T18:32:11+00:00
