Station,Country,Genre,Format,Price USD,Duration,Notes
Los 40,Mexico,Pop/Mainstream,CHR,"7,734",3 months,Top 40 format — highest reach in MX
Beat 100.9,Mexico,Electronic/Dance,Electronic,"3,500",3 months,Premier electronic station in MX
Reactor 105.7,Mexico,Rock/Alternative,Rock,"4,200",3 months,Rock and alternative focused
Ibero 90.9,Mexico,Indie/Alternative,Alternative,"2,800",3 months,University radio — indie and experimental
MVSX,Mexico,Pop/Urban,Urban,"3,200",3 months,Urban and pop crossover
Universal Stereo 92.1,Mexico,Rock/Pop,Rock,"3,800",3 months,Classic and modern rock
Alfa 91.3,Mexico,Pop/Mainstream,CHR,"5,500",3 months,Pop and mainstream hits
Energia 97,Brazil,Electronic/Dance,Electronic,"2,900",3 months,Leading electronic station in BR
Kiss FM,Brazil,Pop/Mainstream,CHR,"4,800",3 months,Major pop radio network
89 FM,Brazil,Rock/Alternative,Rock,"3,200",3 months,A Rádio Rock — top rock station in BR
Jovem Pan,Brazil,Pop/Mainstream,CHR,"5,200",3 months,Largest radio network in Brazil
Band FM,Brazil,Pop/Mainstream,CHR,"3,800",3 months,Wide reach across Brazil
Transamérica,Brazil,Pop/Mainstream,CHR,"4,500",3 months,Major pop/hits network
Mix FM,Brazil,Pop/Dance,CHR,"3,600",3 months,Pop and dance hits
Metro 95.1,Argentina,Rock/Pop,Rock,"2,500",3 months,Iconic rock station in Buenos Aires
La 100,Argentina,Pop/Mainstream,CHR,"3,800",3 months,Top pop radio in Argentina
Aspen 102.3,Argentina,Pop/Chill,AC,"2,200",3 months,Adult contemporary
Rock & Pop,Argentina,Rock/Alternative,Rock,"2,800",3 months,Historic rock station
Delta 90.3,Argentina,Electronic/Dance,Electronic,"2,100",3 months,Electronic and dance music
Los 40 AR,Argentina,Pop/Mainstream,CHR,"3,200",3 months,Top 40 format Argentina
Futuro FM,Chile,Rock/Alternative,Rock,"1,800",3 months,Leading rock station in Chile
ADN Radio,Chile,Pop/Mainstream,CHR,"2,200",3 months,Major Chilean radio
Sonar FM,Chile,Indie/Alternative,Alternative,"1,500",3 months,Independent and alternative
Los 40 CL,Chile,Pop/Mainstream,CHR,"2,500",3 months,Top 40 format Chile
Duna FM,Chile,Pop/Chill,AC,"1,600",3 months,Adult contemporary Chile
La X,Colombia,Rock/Alternative,Rock,"1,800",3 months,Rock station in Bogotá
Los 40 CO,Colombia,Pop/Mainstream,CHR,"2,800",3 months,Top 40 Colombia
Radioacktiva,Colombia,Rock/Pop,Rock,"2,200",3 months,Major rock station
La Mega,Colombia,Pop/Urban,Urban,"3,200",3 months,Pop and urban hits
Oxígeno FM,Colombia,Pop/Dance,CHR,"1,600",3 months,Pop and dance music
La Otra FM,Ecuador,Pop/Mainstream,CHR,"1,200",3 months,Major station in Ecuador
EXA FM,Ecuador,Pop/Urban,CHR,"1,000",3 months,Pop and urban crossover
Radio Disney,LATAM,Pop/Mainstream,CHR,"6,500",3 months,Pan-Latin pop — multi-country reach
Studio 92,Peru,Pop/Mainstream,CHR,"1,400",3 months,Leading pop station in Peru
Planeta,Peru,Rock/Alternative,Rock,"1,100",3 months,Rock and alternative in Lima
Oceano FM,Uruguay,Pop/Mainstream,CHR,"900",3 months,Major station in Montevideo
